Entity,Code,Year,Annual CO₂ emissions (per capita),GDP per capita,900793-annotations,Population (historical),World regions according to OWID,time,time,time,time
Tajikistan,TJK,2022,0.88055193,5507.5454,,10182185,Asia,2022,2023,2022,2022
Tanzania,TZA,2022,0.2740748,3057.3286,,64711777,Africa,2022,2023,2022,2022
Thailand,THA,2022,3.799712,16421.072,,71735273,Asia,2022,2023,2022,2022
Togo,TGO,2022,0.29509643,1586.5889,,9089693,Africa,2022,2023,2022,2022
Trinidad and Tobago,TTO,2022,24.270796,25773.006,,1495868,North America,2022,2023,2022,2022
Tunisia,TUN,2022,2.6360955,10913.846,,12119284,Africa,2022,2023,2022,2022
Turkey,TUR,2022,5.023125,27361.988,,87058421,Asia,2022,2023,2022,2022
Turkmenistan,TKM,2022,8.873182,17234.555,,7230147,Asia,2022,2023,2022,2022
Uganda,UGA,2022,0.119163275,2122.0278,,47312665,Africa,2022,2023,2022,2022
Ukraine,UKR,2022,3.4380214,7749.0996,,41048717,Europe,2022,2023,2022,2022
United Arab Emirates,ARE,2022,22.06371,77203.67,,10242033,Asia,2022,2023,2022,2022
United Kingdom,GBR,2022,4.603082,38406.53,,68179267,Europe,2022,2023,2022,2022
United States,USA,2022,14.870763,58487.465,,341533996,North America,2022,2023,2022,2022
Uruguay,URY,2022,2.3061523,20181.94,,3390863,South America,2022,2023,2022,2022
Uzbekistan,UZB,2022,3.578784,12559.401,,34938911,Asia,2022,2023,2022,2022
Venezuela,VEN,2022,3.1019287,5267.1753,,28212961,South America,2022,2023,2022,2022
Vietnam,VNM,2022,2.9858754,8050.359,,99680606,Asia,2022,2023,2022,2022
Yemen,YEM,2022,0.2693715,1959.3195,,38222833,Asia,2022,2023,2022,2022
Zambia,ZMB,2022,0.3732359,3342.4214,,20152890,Africa,2022,2023,2022,2022
Zimbabwe,ZWE,2022,0.64876056,1703.5294,,16069010,Africa,2022,2023,2022,2022
